symbol,period,actual,estimate,surprise,surprisePercent
AAPL,2022-12-31,1.29,1.2957,-0.0057,-0.4399
AAPL,2022-09-30,1.2,1.1855,0.0145,1.2231
AAPL,2022-06-30,1.52,1.4566,0.0634,4.3526
AAPL,2022-03-31,2.1,1.9268,0.1732,8.989
AMC,2022-09-30,-0.22,-0.2577,0.0377,14.6294
AMC,2022-06-30,-0.24,-0.2121,-0.0279,-13.1542
AMC,2022-03-31,-0.52,-0.6398,0.1198,18.7246
AMC,2021-12-31,-0.26,-0.2627,0.0027,1.0278
AMD,2022-09-30,0.67,0.6915,-0.0215,-3.1092
AMD,2022-06-30,1.05,1.0436,0.0064,0.6133
AMD,2022-03-31,1.13,0.9191,0.2109,22.9464
AMD,2021-12-31,0.92,0.7657,0.1543,20.1515
AMZN,2022-09-30,0.17,0.2197,-0.0497,-22.6218
AMZN,2022-06-30,0.18,0.147,0.033,22.449
AMZN,2022-03-31,0.369,0.4262,-0.0572,-13.4209
AMZN,2021-12-31,0.29,0.182,0.108,59.3407
BAC,2022-09-30,0.81,0.7805,0.0295,3.7796
BAC,2022-06-30,0.78,0.7541,0.0259,3.4346
BAC,2022-03-31,0.8,0.756,0.044,5.8201
BAC,2021-12-31,0.82,0.768,0.052,6.7708
CMCSA,2022-09-30,0.96,0.9262,0.0338,3.6493
CMCSA,2022-06-30,1.01,0.9429,0.0671,7.1163
CMCSA,2022-03-31,0.86,0.8284,0.0316,3.8146
CMCSA,2021-12-31,0.77,0.7559,0.0141,1.8653
CRM,2023-09-30,1.4,1.2271,0.1729,14.0901
CRM,2023-06-30,1.19,1.0314,0.1586,15.3772
CRM,2023-03-31,0.98,0.9457,0.0343,3.6269
CRM,2022-12-31,0.84,0.7462,0.0938,12.5704
CVX,2022-09-30,5.56,4.8616,0.6984,14.3656
CVX,2022-06-30,5.82,5.1528,0.6672,12.9483
CVX,2022-03-31,3.36,3.3061,0.0539,1.6303
CVX,2021-12-31,2.56,3.1509,-0.5909,-18.7534
DG,2023-06-30,2.98,3.0227,-0.0427,-1.4126
DG,2023-03-31,2.41,2.3813,0.0287,1.2052
DG,2022-12-31,2.57,2.6432,-0.0732,-2.7694
DG,2022-09-30,2.08,2.0725,0.0075,0.3619
DISH,2022-09-30,0.65,0.5732,0.0768,13.3985
DISH,2022-06-30,0.82,0.6532,0.1668,25.5358
DISH,2022-03-31,0.68,0.7625,-0.0825,-10.8197
DISH,2021-12-31,0.86,0.8877,-0.0277,-3.1204
EA,2023-06-30,1.45,1.4094,0.0406,2.8807
EA,2023-03-31,0.47,0.2917,0.1783,61.1244
EA,2022-12-31,1.46,1.4736,-0.0136,-0.9229
EA,2022-09-30,3.2,3.3122,-0.1122,-3.3875
EFX,2022-09-30,1.73,1.6416,0.0884,5.385
EFX,2022-06-30,2.09,2.0218,0.0682,3.3732
EFX,2022-03-31,2.22,2.1619,0.0581,2.6875
EFX,2021-12-31,1.84,1.8292,0.0108,0.5904
F,2022-09-30,0.3,0.277,0.023,8.3032
F,2022-06-30,0.68,0.4563,0.2237,49.0248
F,2022-03-31,0.38,0.3776,0.0024,0.6356
F,2021-12-31,0.26,0.4614,-0.2014,-43.6498
GME,2023-06-30,-0.35,-0.3813,0.0313,8.2088
GME,2023-03-31,-0.52,-0.3661,-0.1539,-42.0377
